"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000143476",84.1667240746952,2.61325576112118,0.173202987222141,15.0878215383754,1.94767329641235e-51,3.51814719775283e-49
"ENSG00000050344",387.609943631787,1.98824492350801,0.131890865860151,15.0749250946326,2.36784279182838e-51,4.25348290240376e-49
"ENSG00000197961",304.424290592271,1.70395767352961,0.113072984060878,15.0695383842723,2.56901713175235e-51,4.58950675943933e-49
"ENSG00000123485",174.384103650919,2.56231016913164,0.170133369526027,15.0605973200317,2.94117600841767e-51,5.22565009495586e-49
"ENSG00000074755",3850.89747489182,-2.07658493151496,0.137890975692183,-15.0596144605617,2.98522813536401e-51,5.27509280397965e-49
"ENSG00000119335",1955.978642873,1.34135084215232,0.0890914806100235,15.055882256843,3.15857341693639e-51,5.55123546369026e-49
"ENSG00000123179",283.527467303385,1.73773800474467,0.115552821348151,15.0384731802351,4.10918581428304e-51,7.18312191212897e-49
"ENSG00000173894",100.878455680597,3.75453865617263,0.249764264501828,15.032329239178,4.50868989722362e-51,7.83933386729031e-49
"ENSG00000101255",414.132491254885,2.85156722794263,0.189737806484263,15.0289880587353,4.74194377589019e-51,8.20104042177093e-49
"ENSG00000213468",28.3909103845319,4.50640519046009,0.299923808337422,15.0251666096153,5.02348764553166e-51,8.64199350829717e-49
"ENSG00000139343",273.452338508465,1.716478153506,0.114255833671259,15.0231117165073,5.18169918003151e-51,8.86725090208128e-49
"ENSG00000133424",516.404631838522,-1.57399310660167,0.104805396581736,-15.0182448417542,5.57648132474474e-51,9.49286459647908e-49
"ENSG00000122565",1173.4109874164,1.35613005083494,0.0903254355931373,15.0138224291937,5.96111201149311e-51,1.00947706219629e-48
"ENSG00000111247",81.2983365367746,2.64535206156591,0.176207308811121,15.0127260861892,6.06048076964483e-51,1.02098690022918e-48
"ENSG00000171453",250.235471099691,1.58548583263334,0.105648167371387,15.0072251330197,6.58452110781626e-51,1.10355216133782e-48
"ENSG00000048991",214.427793434687,1.23781424521503,0.082536570286017,14.9971611483926,7.66273102019709e-51,1.27694543931098e-48
"ENSG00000147874",154.320495182982,1.46392971719186,0.097615753057625,14.996859331994,7.69764735513784e-51,1.27694543931098e-48
"ENSG00000172016",412.939899362343,6.22983330512167,0.415633852254809,14.9887533734918,8.6970314927894e-51,1.4354075226221e-48
"ENSG00000145220",182.44961760493,2.03229294843332,0.135610121083592,14.9862925583599,9.02524854577631e-51,1.48205520816854e-48
"ENSG00000175216",726.237725755328,1.51340483032089,0.100992506438257,14.9853180567028,9.15860795646245e-51,1.49639687988151e-48
"ENSG00000087111",941.92923681706,-1.29098418477101,0.0862031340685192,-14.9760701710087,1.05259736290165e-50,1.71120753286921e-48
"ENSG00000120253",263.136347261404,1.2652425585162,0.0845311917917986,14.9677596127179,1.19271949651048e-50,1.92935729898217e-48
"ENSG00000169247",89.2645948642337,2.78409779925533,0.186070270975068,14.9626148479591,1.28861646793969e-50,2.07416217022727e-48
"ENSG00000134057",323.5163960727,2.65849896979558,0.177731057997491,14.9579876457671,1.38140358196795e-50,2.21255941202491e-48
"ENSG00000168496",274.578607151321,1.87730092675333,0.12573490075629,14.9306271803728,2.08297688535518e-50,3.31989757109992e-48
"ENSG00000127423",24.5105244458283,2.9718107565662,0.199059000107977,14.9292961129825,2.12497326696e-50,3.3703112586311e-48
"ENSG00000119285",253.110944562875,1.7358748615372,0.116355261270443,14.9187483452297,2.48898475481277e-50,3.92848787951371e-48
"ENSG00000185238",127.45675745218,1.67900893115651,0.112575836481229,14.9144699576491,2.65376193663925e-50,4.16832925641973e-48
"ENSG00000065328",63.9920870659617,2.38000947456909,0.15969971603107,14.9030288451236,3.14971371970621e-50,4.92354768665999e-48
"ENSG00000125398",1062.16126645345,2.22196249517313,0.149299430660935,14.88259188489,4.27607488362829e-50,6.65226309886556e-48
"ENSG00000126787",85.1249019694314,2.63894903472062,0.177360789063889,14.8789879017172,4.5127452563301e-50,6.98701901258651e-48
"ENSG00000111364",271.79826227535,1.25536246195322,0.0844620655872518,14.863032927562,5.7272510002068e-50,8.82539521425231e-48
"ENSG00000167323",836.723575590797,-1.17406135228144,0.0790096896143925,-14.8597135112345,6.01819948211485e-50,9.22998763969256e-48
"ENSG00000182747",46.27155129487,4.92140877328873,0.331325744941562,14.8536865861623,6.58457912199456e-50,1.00512209188982e-47
"ENSG00000138867",1922.55539352312,-1.26379550238103,0.0851142837595837,-14.8482187308393,7.1441811177194e-50,1.08544815355854e-47
"ENSG00000158106",863.205565725072,2.71805241324614,0.183218078238021,14.8350667105845,8.69174799191506e-50,1.31443485678663e-47
"ENSG00000170373",96.1761735249151,4.70378591459921,0.317110725467583,14.8332602363526,8.92889188736451e-50,1.34404625382301e-47
"ENSG00000119969",122.011002665802,2.30832959944986,0.155666482670137,14.8286873311148,9.55838260347756e-50,1.43217166806207e-47
